class,time_flag,demand_cnt_his,supply_cnt_his
5.0,19,7.625,8.1125
5.0,20,8.0,8.525
5.0,21,6.8333330000000005,7.1041669999999995
5.0,22,7.4166669999999995,7.929167
5.0,23,7.1666669999999995,7.608333
5.0,24,7.375,7.8375
5.0,25,8.916667,9.625
5.0,26,9.75,10.541667
5.0,27,10.583333,11.504167
5.0,28,11.458333,12.375
5.0,29,9.083333,9.670833
5.0,30,8.458333,9.075
5.0,31,8.291667,8.708333
5.0,32,7.75,8.3875
5.0,33,7.6666669999999995,8.25
5.0,34,8.583333,9.304167
5.0,35,8.416667,8.891667
5.0,36,9.208333,9.9
5.0,37,8.041667,8.204167
5.0,38,7.0833330000000005,7.516667
5.0,39,5.7083330000000005,5.820833
5.0,40,7.7083330000000005,7.7916669999999995
5.0,41,5.5,4.6666669999999995
5.0,42,7.1666669999999995,6.2916669999999995
5.0,43,6.4166669999999995,4.5416669999999995
5.0,44,4.0833330000000005,3.25
5.0,45,3.875,2.958333
5.0,46,3.375,2.541667
5.0,47,3.333333,2.041667
6.0,0,14.916667000000002,14.941667
6.0,1,10.875,11.091667
6.0,2,7.75,7.7
6.0,3,6.875,6.1666669999999995
6.0,4,6.75,5.8333330000000005
6.0,5,5.7083330000000005,4.9583330000000005
6.0,6,4.6666669999999995,3.708333
6.0,7,3.75,3.291667
6.0,8,4.375,3.875
6.0,9,2.666667,2.291667
6.0,10,3.333333,2.791667
6.0,11,4.3333330000000005,3.583333
6.0,12,4.7083330000000005,4.675
6.0,13,6.75,7.195833
6.0,14,15.583332999999998,16.683332999999998
6.0,15,37.041667,40.195833
6.0,16,54.833332999999996,59.2625
6.0,17,58.166667000000004,61.55416700000001
6.0,18,49.375,53.120833
6.0,19,43.625,47.208333
6.0,20,40.0,43.3125
6.0,21,39.416667,42.808333000000005
6.0,22,37.625,40.608333
6.0,23,41.625,45.2375
6.0,24,41.208333,44.458333
6.0,25,45.041667,48.8125
6.0,26,51.166667,55.733332999999995
6.0,27,55.875,60.545832999999995
6.0,28,58.791667000000004,63.754167
6.0,29,54.333332999999996,59.125
6.0,30,54.625,58.75833299999999
6.0,31,48.583333,52.61666700000001
6.0,32,49.375,53.25833299999999
6.0,33,56.625,60.9125
6.0,34,67.708333,73.7
6.0,35,72.791667,79.0625
6.0,36,76.583333,83.095833
6.0,37,56.541667000000004,61.279167
6.0,38,52.041667,56.145832999999996
6.0,39,43.875,47.3
6.0,40,45.416667,48.583333
6.0,41,34.791667,37.308333000000005
6.0,42,32.166667,34.191666999999995
6.0,43,31.375,33.229167
6.0,44,31.833333000000003,32.908333
6.0,45,24.958333,25.529167
6.0,46,21.125,22.045833
6.0,47,18.5,19.1125
7.0,0,16.125,14.458332999999998
7.0,1,11.291667,11.55
7.0,2,10.625,10.725
7.0,3,8.208333,7.0
7.0,4,6.2916669999999995,6.279167
7.0,5,6.25,5.25
7.0,6,4.2083330000000005,3.666667
7.0,7,3.75,2.791667
7.0,8,4.25,3.083333
7.0,9,3.0,2.979167
7.0,10,4.2083330000000005,3.666667
7.0,11,4.6666669999999995,4.675
7.0,12,4.5416669999999995,4.766667
7.0,13,7.625,8.020833
7.0,14,20.75,22.4125
7.0,15,48.5,52.754167
7.0,16,81.208333,86.7625
7.0,17,82.25,83.920833
7.0,18,75.708333,81.354167
7.0,19,59.791667000000004,65.12916700000001
7.0,20,52.916667000000004,57.704167000000005
7.0,21,51.875,56.466667
